genotype,lib,chrs,start,stop,cos,width
wt,161,Chr1,6309969,6310786,6310377,817
wt,161,Chr1,20783430,20783937,20783684,507
wt,161,Chr2,12353512,12354308,12353910,796
wt,161,Chr4,1397847,1397954,1397901,107
wt,161,Chr4,12102390,12102917,12102654,527
wt,161,Chr4,18210972,18213701,18212336,2729
wt,161,Chr5,9867742,9868076,9867909,334
wt,162,Chr1,8448407,8448613,8448510,206
wt,162,Chr1,16813509,16813871,16813690,362
wt,162,Chr1,24537444,24538166,24537805,722
wt,162,Chr2,6542501,6542833,6542667,332
wt,162,Chr3,15502149,15502186,15502167,37
wt,162,Chr4,14769580,14773912,14771746,4332
wt,162,Chr5,3141165,3141794,3141479,629
wt,162,Chr5,16166110,16166415,16166262,305
wt,163,Chr1,8655715,8655976,8655845,261
wt,163,Chr1,23138212,23138507,23138360,295
wt,163,Chr2,584278,584455,584366,177
wt,163,Chr2,11650786,11650852,11650819,66
wt,163,Chr3,18835469,18835787,18835628,318
wt,163,Chr5,10238732,10239128,10238930,396
wt,163,Chr5,21138846,21139502,21139174,656
wt,164,Chr1,432021,432547,432284,526
wt,164,Chr1,17248322,17248343,17248332,21
wt,164,Chr1,20236696,20236721,20236708,25
wt,164,Chr1,29163082,29163173,29163128,91
wt,164,Chr2,12430587,12430748,12430667,161
wt,164,Chr3,17479224,17479256,17479240,32
wt,164,Chr4,6752117,6752193,6752155,76
wt,165,Chr1,562860,563367,563114,507
wt,165,Chr2,1867137,1867994,1867565,857
wt,165,Chr2,7995138,7995274,7995206,136
wt,165,Chr2,10794804,10795050,10794927,246
wt,165,Chr3,3619114,3620055,3619584,941
wt,165,Chr3,9423138,9425914,9424526,2776
wt,165,Chr3,21694236,21702613,21698424,8377
wt,165,Chr4,5700959,5701150,5701055,191
wt,165,Chr4,7369829,7370740,7370285,911
wt,165,Chr5,497253,497380,497317,127
wt,165,Chr5,6414528,6414575,6414552,47
wt,165,Chr5,9075489,9075504,9075497,15
wt,165,Chr5,26729049,26729813,26729431,764
wt,166,Chr1,1147537,1148269,1147903,732
wt,166,Chr2,7365632,7365944,7365788,312
wt,166,Chr3,17997323,17997566,17997445,243
wt,166,Chr5,26817862,26818104,26817983,242
wt,167,Chr1,8699720,8699795,8699758,75
wt,167,Chr2,1693043,1696398,1694721,3355
wt,167,Chr2,7106499,7107182,7106841,683
wt,167,Chr3,906192,906827,906510,635
wt,167,Chr3,8858623,8858872,8858747,249
wt,167,Chr3,19948548,19948807,19948678,259
wt,167,Chr4,7807771,7808014,7807893,243
wt,167,Chr4,18183975,18185822,18184899,1847
wt,167,Chr5,20721947,20722285,20722116,338
wt,168,Chr1,23513942,23514372,23514157,430
wt,168,Chr3,16940390,16940793,16940592,403
wt,168,Chr4,1306905,1308587,1307746,1682
wt,168,Chr4,5986030,5986330,5986180,300
wt,168,Chr4,10849382,10849383,10849382,1
wt,168,Chr5,6981844,6982037,6981940,193
wt,169,Chr1,17768126,17768443,17768284,317
wt,169,Chr1,27977370,27978540,27977955,1170
wt,169,Chr2,19354836,19354940,19354888,104
wt,169,Chr3,12597801,12598950,12598375,1149
wt,169,Chr4,177047,177244,177145,197
wt,169,Chr4,739223,739367,739295,144
wt,169,Chr4,14277732,14277738,14277735,6
wt,169,Chr5,8561596,8562140,8561868,544
wt,170,Chr1,11061304,11062278,11061791,974
wt,170,Chr2,2024893,2066807,2045850,41914
wt,170,Chr2,15515610,15515736,15515673,126
wt,170,Chr3,2076039,2076180,2076109,141
wt,170,Chr3,10742051,10742318,10742185,267
wt,170,Chr4,5301387,5301856,5301621,469
wt,170,Chr4,9991654,9993665,9992660,2011
wt,170,Chr5,8676616,8676676,8676646,60
wt,171,Chr1,15917235,15917390,15917313,155
wt,171,Chr1,23495517,23496852,23496185,1335
wt,171,Chr3,3948135,3948751,3948443,616
wt,171,Chr3,23261142,23261229,23261186,87
wt,171,Chr5,2449765,2451940,2450853,2175
wt,171,Chr5,21244874,21250196,21247535,5322
wt,172,Chr1,6621623,6622215,6621919,592
wt,172,Chr1,8937260,8938844,8938052,1584
wt,172,Chr4,5300356,5300575,5300466,219
wt,172,Chr4,11256462,11256548,11256505,86
wt,173,Chr1,9897382,9898891,9898136,1509
wt,173,Chr1,19695673,19695964,19695819,291
wt,173,Chr2,19556968,19557034,19557001,66
wt,173,Chr5,21127924,21128507,21128216,583
wt,174,Chr1,13683572,13689385,13686478,5813
wt,174,Chr1,27095306,27095813,27095560,507
wt,174,Chr2,6686955,6686957,6686956,2
wt,174,Chr2,11797597,11797697,11797647,100
wt,174,Chr3,9836333,9837698,9837015,1365
wt,174,Chr3,10361673,10362105,10361889,432
wt,174,Chr5,13593377,13593668,13593523,291
wt,174,Chr5,25739216,25739673,25739444,457
wt,175,Chr1,4233888,4235774,4234831,1886
wt,175,Chr1,21933531,21935211,21934371,1680
wt,175,Chr1,29368595,29368894,29368745,299
wt,175,Chr2,448998,449243,449120,245
wt,175,Chr2,9977107,9977156,9977131,49
wt,175,Chr3,8064661,8065655,8065158,994
wt,175,Chr4,10751900,10752203,10752052,303
wt,175,Chr5,22957758,22959944,22958851,2186
wt,176,Chr1,8405137,8431089,8418113,25952
wt,176,Chr1,16471958,16472503,16472230,545
wt,176,Chr1,23189519,23189900,23189709,381
wt,176,Chr2,362413,362450,362431,37
wt,176,Chr2,12783726,12784025,12783876,299
wt,176,Chr3,1753832,1754993,1754412,1161
wt,176,Chr3,7213724,7214290,7214007,566
wt,176,Chr4,12087886,12088745,12088316,859
wt,176,Chr5,8379288,8379646,8379467,358
wt,177,Chr1,1461286,1461848,1461567,562
wt,177,Chr1,8901085,8909492,8905289,8407
wt,177,Chr2,811008,812905,811956,1897
wt,177,Chr2,9859106,9859538,9859322,432
wt,177,Chr3,8922751,8923137,8922944,386
wt,177,Chr3,11811085,11811148,11811117,63
wt,177,Chr3,22187001,22187581,22187291,580
wt,177,Chr4,130310,130947,130628,637
wt,177,Chr4,17442797,17442975,17442886,178
wt,177,Chr5,939862,940266,940064,404
wt,177,Chr5,8874155,8876444,8875299,2289
wt,177,Chr5,20941306,20941544,20941425,238
wt,178,Chr1,4233508,4233888,4233698,380
wt,178,Chr2,393665,393748,393707,83
wt,178,Chr3,5560232,5560423,5560328,191
wt,178,Chr3,9377671,9377864,9377767,193
wt,178,Chr3,10767910,10772633,10770272,4723
wt,178,Chr4,9320279,9320382,9320331,103
wt,178,Chr5,155033,155384,155209,351
wt,178,Chr5,8581361,8581461,8581411,100
wt,179,Chr1,16707916,16708925,16708420,1009
wt,179,Chr1,20020022,20020311,20020166,289
wt,179,Chr2,6778351,6778527,6778439,176
wt,179,Chr2,12293246,12294066,12293656,820
wt,179,Chr3,8876464,8878314,8877389,1850
wt,179,Chr3,10047717,10048158,10047937,441
wt,179,Chr5,15471232,15471301,15471266,69
wt,180,Chr1,2613270,2613655,2613462,385
wt,180,Chr1,8180557,8181523,8181040,966
wt,180,Chr1,24876931,24877069,24877000,138
wt,180,Chr2,9523800,9525938,9524869,2138
wt,180,Chr2,17251808,17311215,17281512,59407
wt,180,Chr3,17556913,17558484,17557699,1571
wt,180,Chr4,1033903,1035218,1034561,1315
wt,180,Chr4,5371250,5371418,5371334,168
wt,180,Chr5,13880021,13880178,13880099,157
wt,181,Chr1,10420287,10420621,10420454,334
wt,181,Chr2,6544373,6544638,6544505,265
wt,181,Chr3,11395583,11395728,11395655,145
wt,181,Chr4,11734781,11735507,11735144,726
wt,182,Chr1,11474185,11475408,11474797,1223
wt,182,Chr1,11611663,11611886,11611775,223
wt,182,Chr2,6090218,6090272,6090245,54
wt,182,Chr3,1440156,1440308,1440232,152
wt,182,Chr3,19853216,19853944,19853580,728
wt,182,Chr4,11867679,11868703,11868191,1024
wt,182,Chr4,17802729,17802898,17802813,169
wt,183,Chr1,4296378,4296538,4296458,160
wt,183,Chr1,7172709,7174610,7173659,1901
wt,183,Chr1,8941678,8941903,8941790,225
wt,183,Chr2,407520,407539,407530,19
wt,183,Chr2,674936,675069,675002,133
wt,183,Chr3,3046687,3047632,3047159,945
wt,183,Chr3,15673993,15674759,15674376,766
wt,183,Chr5,17654288,17654434,17654361,146
wt,184,Chr1,1636129,1638242,1637185,2113
wt,184,Chr1,22782428,22783568,22782998,1140
wt,184,Chr2,1123201,1124107,1123654,906
wt,184,Chr2,6035326,6035766,6035546,440
wt,184,Chr2,12338968,12339408,12339188,440
wt,184,Chr3,16081138,16081319,16081228,181
wt,184,Chr4,17356798,17357787,17357292,989
wt,184,Chr5,2630662,2630815,2630738,153
wt,184,Chr5,26505939,26506415,26506177,476
wt,185,Chr1,17061724,17061819,17061772,95
wt,185,Chr1,28915921,28916365,28916143,444
wt,185,Chr2,6761233,6761284,6761259,51
wt,185,Chr3,497885,500016,498951,2131
wt,185,Chr3,6439892,6440988,6440440,1096
wt,185,Chr4,5233063,5233649,5233356,586
wt,185,Chr4,11753969,11754429,11754199,460
wt,185,Chr5,8912309,8912768,8912539,459
wt,185,Chr5,14540899,14541393,14541146,494
wt,185,Chr5,26625640,26626889,26626264,1249
wt,186,Chr1,21442804,21443701,21443252,897
wt,186,Chr1,26729922,26730021,26729972,99
wt,186,Chr4,8908056,8908558,8908307,502
wt,187,Chr1,11223660,11223888,11223774,228
wt,187,Chr2,10350602,10350726,10350664,124
wt,187,Chr3,8710898,8711068,8710983,170
wt,188,Chr1,12974080,12974439,12974260,359
wt,188,Chr1,24788356,24788480,24788418,124
wt,188,Chr2,9511103,9511401,9511252,298
wt,188,Chr3,8688078,8689343,8688710,1265
wt,188,Chr5,26291554,26292136,26291845,582
wt,188,Chr5,26807852,26807984,26807918,132
wt,189,Chr1,7638527,7639278,7638903,751
wt,189,Chr1,30220747,30221894,30221321,1147
wt,189,Chr2,9908885,9908984,9908935,99
wt,189,Chr3,469136,469557,469346,421
wt,189,Chr3,16741780,16741818,16741799,38
wt,189,Chr3,16755328,16755472,16755400,144
wt,189,Chr5,542097,544105,543101,2008
wt,189,Chr5,8049326,8049910,8049618,584
wt,189,Chr5,21298409,21298738,21298573,329
wt,190,Chr1,12549135,12549235,12549185,100
wt,190,Chr2,1689177,1689193,1689185,16
wt,190,Chr2,13801325,13802154,13801739,829
wt,190,Chr2,15495246,15496039,15495642,793
wt,190,Chr3,9904097,9904514,9904305,417
wt,190,Chr3,17401475,17401779,17401627,304
wt,190,Chr3,19986782,19987515,19987148,733
wt,190,Chr4,11177239,11177285,11177262,46
wt,190,Chr4,17689673,17690743,17690208,1070
wt,190,Chr5,15328599,15328688,15328643,89
wt,190,Chr5,25652484,25652586,25652535,102
wt,191,Chr1,19519888,19520241,19520064,353
wt,191,Chr2,187990,189081,188536,1091
wt,191,Chr2,1022377,1023113,1022745,736
wt,191,Chr2,11908238,11908419,11908328,181
wt,191,Chr3,10875442,10876286,10875864,844
wt,191,Chr3,23350233,23351530,23350881,1297
wt,191,Chr5,13487195,13487255,13487225,60
wt,191,Chr5,25794984,25795583,25795284,599
wt,192,Chr1,9198319,9199132,9198725,813
wt,192,Chr2,16160490,16161128,16160809,638
wt,192,Chr3,5135037,5142262,5138649,7225
wt,192,Chr3,9168089,9168628,9168359,539
wt,192,Chr3,15971441,15971671,15971556,230
wt,192,Chr4,84910,85019,84964,109
wt,193,Chr1,24498100,24498240,24498170,140
wt,193,Chr2,10905722,10906049,10905886,327
wt,193,Chr2,16758307,16758925,16758616,618
wt,193,Chr3,10386701,10386806,10386753,105
wt,193,Chr4,87255,88852,88053,1597
wt,193,Chr4,9253609,9253753,9253681,144
wt,193,Chr5,7752439,7752565,7752502,126
wt,193,Chr5,10038172,10038332,10038252,160
wt,193,Chr5,18294786,18294842,18294814,56
wt,194,Chr1,7782210,7782331,7782270,121
wt,194,Chr1,19689774,19690184,19689979,410
wt,194,Chr2,11548207,11548255,11548231,48
wt,194,Chr3,1943625,1945714,1944669,2089
wt,194,Chr3,22425734,22427183,22426458,1449
wt,194,Chr5,16569086,16569470,16569278,384
wt,195,Chr1,17183805,17184876,17184341,1071
wt,195,Chr1,24646762,24647068,24646915,306
wt,195,Chr2,18368547,18369011,18368779,464
wt,195,Chr3,733797,734844,734321,1047
wt,195,Chr3,10456669,10457174,10456921,505
wt,195,Chr3,19510689,19511113,19510901,424
wt,195,Chr4,5386905,5386999,5386952,94
wt,195,Chr4,17738957,17739728,17739343,771
wt,195,Chr5,364125,364651,364388,526
wt,195,Chr5,15759844,15759946,15759895,102
wt,196,Chr1,17893651,17894339,17893995,688
wt,196,Chr2,179750,179823,179786,73
wt,196,Chr2,11777516,11777616,11777566,100
wt,196,Chr3,734844,735358,735101,514
wt,196,Chr3,11805979,11806376,11806177,397
wt,196,Chr5,4571158,4571938,4571548,780
wt,196,Chr5,9717038,9717917,9717478,879
wt,197,Chr1,2817741,2818949,2818345,1208
wt,197,Chr1,8199854,8200339,8200096,485
wt,197,Chr1,17209784,17209796,17209790,12
wt,197,Chr2,2349259,2349405,2349332,146
wt,197,Chr2,14199880,14200926,14200403,1046
wt,197,Chr3,11273854,11274867,11274360,1013
wt,197,Chr5,9987837,9988118,9987977,281
wt,197,Chr5,13659200,13659234,13659217,34
wt,198,Chr3,2903098,2903131,2903114,33
wt,198,Chr3,7579250,7579946,7579598,696
wt,198,Chr3,16598787,16599738,16599263,951
wt,198,Chr4,7247349,7247605,7247477,256
wt,198,Chr4,17471258,17471914,17471586,656
wt,198,Chr5,5228587,5229066,5228827,479
wt,199,Chr1,27970848,27971578,27971213,730
wt,199,Chr2,15190819,15192193,15191506,1374
wt,199,Chr3,9215529,9216876,9216203,1347
wt,199,Chr3,20072455,20073157,20072806,702
wt,199,Chr4,10060637,10064532,10062585,3895
wt,199,Chr5,5135096,5137145,5136120,2049
wt,199,Chr5,16034222,16034746,16034484,524
wt,200,Chr1,624717,625021,624869,304
wt,200,Chr1,23460129,23461440,23460785,1311
wt,200,Chr2,13985817,13987422,13986619,1605
wt,200,Chr3,9510887,9511167,9511027,280
wt,200,Chr3,9583233,9583315,9583274,82
wt,200,Chr3,19606632,19606801,19606716,169
wt,200,Chr4,7597666,7599328,7598497,1662
wt,200,Chr4,8855202,8855718,8855460,516
wt,200,Chr5,6981844,6982037,6981940,193
wt,201,Chr1,7672839,7674749,7673794,1910
wt,201,Chr1,10550298,10550950,10550624,652
wt,201,Chr1,22926559,22926579,22926569,20
wt,201,Chr2,8577194,8578164,8577679,970
wt,201,Chr2,15031314,15032935,15032124,1621
wt,201,Chr3,16034701,16035050,16034875,349
wt,201,Chr4,5299784,5299895,5299840,111
wt,201,Chr4,10715858,10716357,10716108,499
wt,201,Chr5,21305440,21305507,21305474,67
wt,202,Chr1,13258184,13258230,13258207,46
wt,202,Chr1,29498689,29498971,29498830,282
wt,202,Chr3,1923274,1923571,1923422,297
wt,202,Chr3,16953563,16954032,16953797,469
wt,202,Chr4,17260240,17261086,17260663,846
wt,202,Chr5,8850257,8855729,8852993,5472
wt,202,Chr5,24099069,24099674,24099371,605
wt,203,Chr1,20009215,20009678,20009447,463
wt,203,Chr1,28385496,28385902,28385699,406
wt,203,Chr3,1350879,1351119,1350999,240
wt,203,Chr4,6255880,6256049,6255964,169
wt,203,Chr5,10065951,10066042,10065997,91
wt,204,Chr1,12038080,12038845,12038462,765
wt,204,Chr2,6801071,6801370,6801221,299
wt,204,Chr2,12108896,12124196,12116546,15300
wt,204,Chr3,16188732,16188893,16188812,161
wt,205,Chr1,19689040,19689774,19689407,734
wt,205,Chr2,3022777,3022903,3022840,126
wt,205,Chr3,10824495,10824678,10824587,183
wt,205,Chr4,6614870,6616103,6615486,1233
wt,205,Chr4,13667612,13668062,13667837,450
wt,205,Chr5,14224612,14225486,14225049,874
wt,205,Chr5,21374129,21374492,21374311,363
wt,206,Chr1,11349415,11349494,11349455,79
wt,206,Chr2,7222881,7222883,7222882,2
wt,206,Chr3,9403661,9403749,9403705,88
wt,206,Chr3,10880449,10880944,10880697,495
wt,206,Chr5,15314972,15315054,15315013,82
wt,206,Chr5,25843548,25843784,25843666,236
wt,207,Chr1,7382441,7383357,7382899,916
wt,207,Chr1,9199132,9204841,9201986,5709
wt,207,Chr2,17881666,17887845,17884756,6179
wt,207,Chr3,18889807,18889916,18889861,109
wt,207,Chr4,216421,216538,216479,117
wt,207,Chr5,1793122,1794213,1793668,1091
wt,208,Chr3,9497141,9497880,9497511,739
wt,208,Chr4,7377845,7378861,7378353,1016
wt,208,Chr5,13880739,13880890,13880815,151
wt,208,Chr5,26614414,26614675,26614544,261
wt,209,Chr1,17291041,17292338,17291689,1297
wt,209,Chr2,18415401,18416168,18415785,767
wt,209,Chr3,11310913,11310968,11310941,55
wt,209,Chr3,14811695,14812520,14812107,825
wt,209,Chr4,11350128,11350133,11350130,5
wt,209,Chr5,13284578,13284722,13284650,144
wt,210,Chr1,7781734,7782210,7781972,476
wt,210,Chr3,9510539,9510863,9510701,324
wt,210,Chr3,17254846,17258036,17256441,3190
wt,210,Chr4,10808817,10809464,10809141,647
wt,211,Chr1,18912214,18913201,18912708,987
wt,211,Chr1,28415902,28416013,28415958,111
wt,211,Chr2,7284846,7285844,7285345,998
wt,211,Chr2,9565477,9566674,9566075,1197
wt,211,Chr3,7932884,7933177,7933030,293
wt,211,Chr3,18070553,18070648,18070601,95
wt,211,Chr5,5437006,5437808,5437407,802
wt,211,Chr5,20630806,20630854,20630830,48
wt,212,Chr1,24225385,24225762,24225573,377
wt,212,Chr1,26051477,26051601,26051539,124
wt,212,Chr2,7368537,7368829,7368683,292
wt,212,Chr2,9236896,9237050,9236973,154
wt,212,Chr2,18598515,18598856,18598685,341
wt,212,Chr3,7631483,7631723,7631603,240
wt,212,Chr4,1045635,1045752,1045693,117
wt,212,Chr4,12996614,12996919,12996766,305
wt,212,Chr5,1950465,1950801,1950633,336
wt,212,Chr5,15756401,15756900,15756651,499
wt,213,Chr1,4117805,4117961,4117883,156
wt,213,Chr1,7154346,7157751,7156048,3405
wt,213,Chr1,29445441,29445507,29445474,66
wt,213,Chr1,30269554,30270428,30269991,874
wt,213,Chr2,14258346,14258355,14258350,9
wt,213,Chr4,1447005,1447200,1447103,195
wt,213,Chr5,5009848,5010089,5009968,241
wt,213,Chr5,16663275,16665406,16664341,2131
wt,213,Chr5,18484721,18485697,18485209,976
wt,214,Chr1,11211568,11211664,11211616,96
wt,214,Chr1,26705145,26705185,26705165,40
wt,214,Chr1,27302776,27303998,27303387,1222
wt,214,Chr2,6777769,6778266,6778017,497
wt,214,Chr3,8866812,8871215,8869014,4403
wt,214,Chr4,1529163,1529792,1529477,629
wt,214,Chr5,8796203,8797215,8796709,1012
wt,215,Chr1,12608529,12609060,12608795,531
wt,215,Chr3,979096,979508,979302,412
wt,215,Chr4,6228870,6228939,6228904,69
wt,215,Chr5,8031659,8032290,8031975,631
wt,216,Chr2,14636337,14638666,14637501,2329
wt,216,Chr2,16159875,16160490,16160183,615
wt,217,Chr1,8225687,8225799,8225743,112
wt,217,Chr1,16265633,16266209,16265921,576
wt,217,Chr1,28921564,28922256,28921910,692
wt,217,Chr2,334781,335140,334961,359
wt,217,Chr2,6948869,6949037,6948953,168
wt,217,Chr2,15933713,15940160,15936937,6447
wt,217,Chr3,10360668,10360816,10360742,148
wt,217,Chr5,2444535,2445031,2444783,496
wt,217,Chr5,21868070,21868801,21868436,731
wt,218,Chr1,12689105,12689440,12689273,335
wt,218,Chr1,25973506,25973512,25973509,6
wt,218,Chr3,9984358,9985049,9984704,691
wt,218,Chr4,11529329,11529549,11529439,220
wt,218,Chr4,14408326,14408797,14408562,471
wt,218,Chr5,6443354,6445091,6444222,1737
wt,218,Chr5,24955692,24955723,24955708,31
wt,219,Chr1,8548974,8549074,8549024,100
wt,219,Chr1,17856825,17857859,17857342,1034
wt,219,Chr3,2771918,2772605,2772262,687
wt,219,Chr3,9010138,9010421,9010280,283
wt,219,Chr5,14894979,14895279,14895129,300
wt,220,Chr1,23411381,23412778,23412079,1397
wt,220,Chr2,277329,277351,277340,22
wt,220,Chr2,7807723,7807889,7807806,166
wt,220,Chr2,9969883,9971328,9970605,1445
wt,220,Chr3,11839141,11839239,11839190,98
wt,220,Chr5,10149458,10149673,10149566,215
wt,220,Chr5,25802059,25803186,25802623,1127
wt,221,Chr2,14587641,14587968,14587805,327
wt,221,Chr3,12666294,12667008,12666651,714
wt,221,Chr4,5727717,5729491,5728604,1774
wt,221,Chr4,11668256,11668829,11668542,573
wt,221,Chr4,15707178,15707281,15707230,103
wt,221,Chr5,19287775,19288671,19288223,896
wt,221,Chr5,22415572,22416164,22415868,592
wt,222,Chr1,2380139,2380853,2380496,714
wt,222,Chr1,8919881,8920494,8920187,613
wt,222,Chr1,22745677,22746133,22745905,456
wt,222,Chr3,321598,322771,322184,1173
wt,222,Chr3,17175743,17176147,17175945,404
wt,222,Chr4,73796,73968,73882,172
wt,222,Chr5,13880565,13880739,13880652,174
wt,222,Chr5,25908539,25909119,25908829,580
wt,223,Chr1,16705466,16705799,16705632,333
wt,223,Chr3,7647898,7648092,7647995,194
wt,223,Chr4,5566940,5567344,5567142,404
wt,223,Chr4,11653006,11653286,11653146,280
wt,223,Chr5,15466962,15467140,15467051,178
wt,224,Chr1,7200772,7201252,7201012,480
wt,224,Chr2,4939908,4940476,4940192,568
wt,224,Chr2,6534941,6535456,6535199,515
wt,224,Chr3,7990291,7990989,7990640,698
wt,224,Chr3,17201617,17201945,17201781,328
wt,224,Chr3,20592402,20592677,20592540,275
wt,224,Chr4,8352084,8353130,8352607,1046
wt,224,Chr4,9744268,9745120,9744694,852
wt,224,Chr5,1343884,1344131,1344008,247
wt,225,Chr2,6354892,6355532,6355212,640
wt,225,Chr2,14051579,14051762,14051671,183
wt,225,Chr3,1177533,1177790,1177661,257
wt,225,Chr3,4377061,4377450,4377255,389
wt,225,Chr3,17550449,17551986,17551217,1537
wt,225,Chr4,5848175,5849120,5848647,945
wt,225,Chr4,17782455,17785282,17783869,2827
wt,225,Chr5,13879924,13880021,13879972,97
wt,225,Chr5,15421114,15421321,15421218,207
wt,226,Chr1,3890049,3890315,3890182,266
wt,226,Chr1,7481472,7481951,7481712,479
wt,226,Chr1,29384847,29384987,29384917,140
wt,226,Chr2,1026400,1026485,1026442,85
wt,226,Chr2,6916796,6917861,6917328,1065
wt,226,Chr3,15971441,15971671,15971556,230
wt,226,Chr3,16890436,16891214,16890825,778
wt,226,Chr4,6257385,6258844,6258115,1459
wt,226,Chr5,4906894,4907488,4907191,594
wt,226,Chr5,7932446,7933094,7932770,648
wt,226,Chr5,16512267,16512407,16512337,140
wt,227,Chr1,16801351,16801365,16801358,14
wt,227,Chr2,351126,351372,351249,246
wt,227,Chr2,9987868,9988726,9988297,858
wt,227,Chr3,20033130,20033176,20033153,46
wt,227,Chr4,5365607,5365831,5365719,224
wt,227,Chr4,16918514,16918607,16918560,93
wt,227,Chr5,2325078,2325505,2325292,427
wt,227,Chr5,17840009,17840636,17840323,627
wt,227,Chr5,26885612,26886524,26886068,912
wt,228,Chr1,4894949,4895565,4895257,616
wt,228,Chr2,324932,326070,325501,1138
wt,228,Chr3,6331036,6332188,6331612,1152
wt,228,Chr4,727364,727476,727420,112
wt,228,Chr4,5831628,5834924,5833276,3296
wt,228,Chr5,26221560,26222001,26221780,441
wt,229,Chr1,9179774,9180073,9179924,299
wt,229,Chr1,17702530,17702669,17702600,139
wt,229,Chr2,7666858,7667617,7667238,759
wt,229,Chr3,9136695,9136776,9136735,81
wt,229,Chr3,11811507,11812031,11811769,524
wt,229,Chr4,5423854,5424464,5424159,610
wt,229,Chr4,11764527,11765010,11764769,483
wt,229,Chr5,8382825,8383412,8383119,587
wt,229,Chr5,17634874,17635462,17635168,588
wt,230,Chr1,8535425,8537070,8536247,1645
wt,230,Chr1,29501283,29501745,29501514,462
wt,230,Chr2,6023891,6024050,6023971,159
wt,230,Chr2,9540969,9541253,9541111,284
wt,230,Chr3,11738945,11739115,11739030,170
wt,230,Chr3,15867848,15867962,15867905,114
wt,230,Chr4,5143230,5143324,5143277,94
wt,230,Chr4,6078009,6078161,6078085,152
wt,230,Chr5,15229807,15231006,15230407,1199
wt,231,Chr2,6467123,6467289,6467206,166
wt,231,Chr2,16291240,16292215,16291728,975
wt,231,Chr3,607850,608294,608072,444
wt,231,Chr4,9443711,9444423,9444067,712
wt,231,Chr4,17352525,17353680,17353103,1155
wt,231,Chr5,14733403,14733988,14733695,585
wt,232,Chr1,8718271,8719120,8718695,849
wt,232,Chr1,16657727,16657879,16657803,152
wt,232,Chr3,9484586,9485439,9485012,853
wt,232,Chr3,9843072,9843371,9843222,299
wt,232,Chr4,6747019,6747407,6747213,388
wt,232,Chr4,17555468,17555509,17555488,41
wt,232,Chr5,8659332,8659780,8659556,448
wt,232,Chr5,16644193,16644427,16644310,234
wt,233,Chr1,3578910,3580185,3579548,1275
wt,233,Chr1,16137863,16138078,16137971,215
wt,233,Chr1,23863264,23865339,23864302,2075
wt,233,Chr2,5003869,5005611,5004740,1742
wt,233,Chr3,7224746,7225490,7225118,744
wt,233,Chr3,10419436,10419623,10419530,187
wt,233,Chr4,9391970,9392400,9392185,430
wt,233,Chr5,20442610,20443608,20443109,998
wt,234,Chr1,16737235,16737379,16737307,144
wt,234,Chr2,826879,827159,827019,280
wt,234,Chr2,9562697,9563116,9562907,419
wt,234,Chr3,4778878,4779485,4779182,607
wt,234,Chr4,16930267,16930916,16930591,649
wt,234,Chr5,20052165,20053529,20052847,1364
wt,234,Chr5,20841237,20841312,20841275,75
wt,234,Chr5,22129686,22137615,22133650,7929
wt,235,Chr1,9016463,9017153,9016808,690
wt,235,Chr1,24538166,24538388,24538277,222
wt,235,Chr1,28860968,28861293,28861130,325
wt,235,Chr2,1106691,1107733,1107212,1042
wt,235,Chr2,6688048,6688548,6688298,500
wt,235,Chr2,13951025,13951459,13951242,434
wt,235,Chr3,7598267,7598759,7598513,492
wt,235,Chr3,15081971,15082065,15082018,94
wt,235,Chr4,9309859,9310284,9310071,425
wt,235,Chr4,16563229,16563366,16563297,137
wt,235,Chr4,17992357,17995857,17994107,3500
wt,235,Chr5,5710856,5711678,5711267,822
wt,235,Chr5,8879196,8882198,8880697,3002
wt,235,Chr5,21579558,21579614,21579586,56
wt,235,Chr5,26757201,26757636,26757419,435
wt,236,Chr1,21685305,21686048,21685677,743
wt,236,Chr1,23802525,23803153,23802839,628
wt,236,Chr2,350665,351126,350895,461
wt,236,Chr2,13141824,13144213,13143018,2389
wt,236,Chr3,5372592,5373622,5373107,1030
wt,236,Chr4,5365454,5365591,5365522,137
wt,236,Chr4,6448762,6448805,6448784,43
wt,236,Chr4,17629291,17629338,17629315,47
wt,236,Chr5,1770444,1770823,1770634,379
wt,236,Chr5,7229366,7229441,7229404,75
wt,237,Chr1,559506,560551,560028,1045
wt,237,Chr1,9458448,9458722,9458585,274
wt,237,Chr1,25274320,25275454,25274887,1134
wt,237,Chr2,10169625,10170007,10169816,382
wt,237,Chr3,8236471,8237061,8236766,590
wt,237,Chr4,5739140,5739244,5739192,104
wt,237,Chr4,6207485,6209747,6208616,2262
wt,237,Chr5,2120472,2120533,2120502,61
wt,237,Chr5,26350212,26350402,26350307,190
wt,238,Chr1,21519119,21519591,21519355,472
wt,238,Chr2,7252496,7252882,7252689,386
wt,238,Chr4,4868023,4869001,4868512,978
wt,239,Chr1,3949439,4010265,3979852,60826
wt,239,Chr1,25030074,25031220,25030647,1146
wt,239,Chr3,9719306,9719521,9719414,215
wt,239,Chr3,11148147,11148876,11148511,729
wt,239,Chr5,7967682,7967914,7967798,232
wt,240,Chr2,9372067,9373865,9372966,1798
wt,240,Chr2,15587615,15588556,15588085,941
wt,240,Chr3,20406439,20406781,20406610,342
wt,240,Chr4,9182776,9189269,9186022,6493
